TCID,Tytuł,Warunki wstępne,ID Kroku,Opis kroku,Oczekiwany rezultat
1,Sprawdzenie zgodności aplikacji z systemem operacyjnym Windows 7,"komputer z systemem operacyjnym Windows 7, rozpakowane archiwum z aplikacją",1,uruchom aplikację klikając w plik wykonywalny,Aplikacja została poprawnie uruchomiona
2,Sprawdzenie możliwości zarejestrowania się w aplikacji MrBuggy przy użyciu loginu o konkretnych wymaganiach,"Użytkownik nie znajduje się w bazie, login musi mieć od 2 do 8 znaków, bez białych znaków, bez polskich znaków",1,Uruchom aplikację,
,,,2,kliknij pole zarejestruj się,
,,,3,wypełnij pole login,
,,,4,wypełnij pole hasło,
,,,5,wypełnij pole powtórz hasło,
,,,6,kliknij pole zarejestruj sie,"Powiodła się rejestracja, jest możliwe logowanie"
3,Logowanie do aplikacji MrBuggy,"Użytkownik jest zarejestrowany w bazie, login musi mieć od 2 do 8 znaków, bez białych znaków, bez polskich znaków",1,Uruchom aplikację,
,,,2,Kliknij pole zaloguj się,
,,,3,"wypełnij pole login, zgodnie z wymaganiami z warunków wstępnych",
,,,4,wypełnij pole hasło,
,,,5,kliknij pole zaloguj się,Logowanie do aplikacji powiodło się
4,Ikona MrBuggy 3 widoczna w oknie aplikacji,Uruchomienie aplikacji,1,uruchom aplikację,
,,,2,kliknij pole zaloguj się,
,,,3,wypełnij pole login,
,,,4,wypełnij pole hasło,
,,,5,kliknij pole zaloguj się,
,,,6,w oknie aplikacji użytkownik widzi ikonę MrBuggy 3,Ikona MrBuggy 3 widoczna w lewym górynym rogu okna aplikacji (Weryfikacja zgodności z makietami)
